nombre,zona,tipo_cocina,instagram,web_o_fuente,prioridad,notas
El Preferido de Palermo,Palermo,bodegón porteño,@elpreferidodepalermo,https://guide.michelin.com/us/en/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurant/el-preferido-de-palermo,B,Bodegón restaurado 2019 por Pablo Rivero y Guido Tassi; Michelin recomendado
Niño Gordo,Palermo,parrilla asiática fusión,,https://www.infobae.com/tendencias/2025/12/03/50-best-2025-distinguieron-a-8-restaurantes-argentinos-entre-los-mejores-de-america-latina/,B,Puesto 34 Latin America's 50 Best; independiente
La Carnicería,Palermo,parrilla moderna,@xlacarniceriax,https://iberiaclubmagazine.iberia.com/articulos/2025/1/restaurantes-buenos-aires/,B,Parrilla de autor chica
Mengano,Palermo,clásicos reinventados,@mengano.ba,https://iberiaclubmagazine.iberia.com/articulos/2025/1/restaurantes-buenos-aires/,B,Bodegón de autor independiente
Chori,Palermo,choripanería,,https://iberiaclubmagazine.iberia.com/articulos/2025/1/restaurantes-buenos-aires/,B,Homenaje a cocina callejera
Barra Chalaca,Palermo,cevichería peruana,,https://iberiaclubmagazine.iberia.com/articulos/2025/1/restaurantes-buenos-aires/,C,Grupo Gastón Acurio (grupo grande internacional)
El Refuerzo,San Telmo,bodegón argentino,,https://secretsofbuenosaires.com/restaurants-in-san-telmo/,B,Favorito de locales
PES,San Telmo,fusión argentino-peruana,,https://comabeba.com/argentina/best-restaurants-san-telmo-buenos-aires/,B,Ceviches y cocina peruana
Caseros,San Telmo,cocina casera mediterránea,,https://comabeba.com/argentina/best-restaurants-san-telmo-buenos-aires/,B,Restaurante de esquina en Av. Caseros
Grapin,San Telmo,vegetariano de autor,,https://comabeba.com/argentina/best-restaurants-san-telmo-buenos-aires/,B,Alta cocina vegetariana + coctelería
Bar El Federal,San Telmo,bar notable,,https://secretsofbuenosaires.com/es/10-restaurantes-escondidos-en-san-telmo-que-solo-conocen-los-locales/,C,Bar notable histórico (1864); posible grupo de bares notables
Cave Canem,San Telmo,bar de tragos,,https://www.tiktok.com/discover/bares-san-telmo-buenos-aires,B,Coctelería de barrio
Atis Bar,San Telmo,bar con terraza,,https://www.tiktok.com/discover/bares-san-telmo-buenos-aires,B,Terraza para cenar
Clorindo Café,Recoleta,cafetería de especialidad,@clorindo.ba,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,B,Talcahuano 1261; también sucursal Belgrano La Pampa 2215
Shelter Coffee,Recoleta,cafetería de especialidad,@thesheltercoffee,https://www.laguiadebuenosaires.com/cafes-de-especialidad-en-buenos-aires/,B,Arroyo 940; sucursal Belgrano Virrey Loreto 2035
Öss Kaffee,Belgrano,cafetería de especialidad,@osskaffe,https://www.laguiadebuenosaires.com/cafes-de-especialidad-en-buenos-aires/,B,Garage transformado; F.D. Roosevelt 1894
Pampa Café,Belgrano,cafetería de especialidad,,https://malevamag.com/un-cafe-de-especialidad-por-barrio-en-buenos-aires-top-10-por-cami-de-rienzo/,B,Esquina La Pampa y Cazadores
Maure,Chacarita,parrilla,@maureparrilla,https://www.cronista.com/clase/gourmet/de-barrio-de-lujo-clasicas-nuevas-y-premiadas-10-parrillas-que-hay-que-conocer-en-buenos-aires/,B,Av. Córdoba 6401; parrilla de esquina
Don Jorge,Chacarita,parrilla de barrio,@parrilladonjorge1201,https://www.infogastronomica.com.ar/en-chacarita-la-parrilla-de-barrio-siempre-llena-por-su-gran-relacion-precio-calidad-y-su-corte-de-carne-secreto/,B,Villarroel 1201; precios de barrio
Don Zoilo,Villa Crespo,parrilla,@donzoilo.ok,https://www.cronista.com/clase/gourmet/de-barrio-de-lujo-clasicas-nuevas-y-premiadas-10-parrillas-que-hay-que-conocer-en-buenos-aires/,B,Fundada por dos amigos; maduración 45-60 días
Madre Rojas,Villa Crespo,parrilla wagyu,@madrerojas,https://www.cronista.com/clase/gourmet/de-barrio-de-lujo-clasicas-nuevas-y-premiadas-10-parrillas-que-hay-que-conocer-en-buenos-aires/,B,Abrió fines 2021; estética cuidada
Somos Asado,Villa Crespo,parrilla,@somosasado,https://www.cronista.com/clase/gourmet/de-barrio-de-lujo-clasicas-nuevas-y-premiadas-10-parrillas-que-hay-que-conocer-en-buenos-aires/,B,Cámara de maduración y horno de barro; chef Gustavo Portela
Hierro Bodegón,Palermo,neo-bodegón,@hierrobodegon,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente destacada por TimeOut BA
Trufa Restaurant,Retiro,cocina de temporada,@trufa.restaurant,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Mambo,Villa Crespo,cocina argentina contemporánea,@mambo.restoran,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Lula,Villa Ortúzar,cocina de estación,@lula_restaurante,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Curva,Villa Ortúzar,vermutería y platitos,@curva_ortuzar,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Koala,Palermo,gastronomía consciente,@koala.bsas,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Presencia,Recoleta,cocina contemporánea,@presenciarestaurant,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
