nombre,zona,prioridad,instagram,web_oficial,email,whatsapp_tel,fuente_contacto
Hierro Bodegón,Palermo,A,@hierrobodegon,https://www.hierrobodegon.com/,,011 15 2486 8061,web oficial + ficha TimeOut/Google
Trufa Restaurant,Retiro,A,@trufa.restaurant,https://www.trufa.com.ar/,palaciopaz@trufa.com.ar,+54 9 11 7248-7832,web oficial (trufa.com.ar)
Mambo,Villa Crespo,A,@mambo.restoran,,,+54 11 3068-1820,ficha Woki (sistema de reservas)
Lula,Villa Ortúzar,A,@lula_restaurante,https://www.lularestaurante.com/,,,web oficial (sin datos de contacto publicados)
Curva,Villa Ortúzar,A,@curva_ortuzar,,,,sin datos públicos encontrados
Koala,Palermo,A,@koala.bsas,https://koala.com.ar/,info@koala.com.ar,+54 9 11 5753-1939,web oficial (koala.com.ar)
Presencia,Recoleta,A,@presenciarestaurant,,,11 2310-0021,prensa gastronómica + reservas Meitre
Bambina,Palermo Chico,A,@bambina__pizza,,,,sin datos públicos encontrados (solo Rappi)
Orei Ramen Bar,Belgrano,A,@orei.jp,,,,sin teléfono público (no aceptan reservas)
Somma,Palermo,A,@somma.bar,,,,sin datos públicos encontrados
Garabato Bistró,Núñez,A,@garabato_bistro,,,,sin datos públicos (reservas por IG; dominio restaurantegarabato.com no es de este local)
Burdo,Colegiales,A,@burdo.resto,,,,reservas/consultas solo por Instagram (menú online en burdo.cluvi.co)
Bravado,Vicente López,A,@bravado.ba,,,,sin teléfono público (contacto por Instagram)
Mafia,Belgrano,A,@mafia.bsas,,,,sin datos públicos encontrados
Jotti,Palermo,A,@jotti.ar,,,,sin datos públicos encontrados
Silvino,Chacarita,A,@silvinoquerido,https://linktr.ee/SilvinoQuerido,,11 4081-4778,prensa gastronómica (La Nación/Vinómanos) + Woki
Anasagasti Omakase,Palermo,A,@anasagasti_ba,https://linktr.ee/anasagasti,,11 6614-2833,prensa (Perfil) + linktree oficial
Kamay Casa Gardel,Abasto,A,@kamaycasagardel,,,,sin teléfono público (reservas por Woki/IG; menú online fu.do)
Pani Pizza Feroz,Palermo,A,@paniferoz,https://www.pani.com.ar/,,,web oficial grupo Pani (sin tel/email del local publicados)
Del Río Cantina,Saavedra,A,@delriocantina,https://www.delriocantina.com.ar/,info@delriocantina.com.ar,11 5848-9182,web oficial (delriocantina.com.ar)
Territorio Aura,Palermo,A,@territorioaura,https://www.territorioaura.com/,,11 5038-5017,web oficial + prensa (WhatsApp reservas)
Orno Pizzería Cantina,Palermo,A,@orno.pizzeria.cantina,http://ornopizzeria.com/,info@ornopizzeria.com,+54 9 11 4195-2117,web oficial (ornopizzeria.com)
Barragán Café,Saavedra,A,@barragan.cafe,https://www.barragancafe.com.ar/,hola@barragancafe.com.ar,,web oficial (barragancafe.com.ar)
Ness,Núñez,A,@ness.bsas,,,11 3455-8612,prensa gastronómica + reservas Meitre
Gran Dabbang,Palermo,A,@dabbang_,,,+54 9 11 3501-0481,ficha pública (buenosairesconnect/Yelp) tel fijo 4832-1186
Ácido,Chacarita,A,@acido_ba,,,,no toman reservas; sin teléfono público
Tony Wu,Villa Crespo,A,@tonywu_cantinachina,,,,reservas por Woki/IG; sin teléfono público
Sendero,Costanera,A,@senderocostanera,https://senderocostanera.com/,,,web oficial (sin tel/email publicados; reservas online)
Sudestada,Palermo,A,@sudestadaba,,,+54 11 4776-3777,ficha pública (Yelp/Tripadvisor)
El Imperfecto,Palermo,A,@elimperfectook,https://monline.com.ar/ElImperfecto,,011 6580-1811,prensa (loqueva/ámbito) + menú online oficial
Chuí,Villa Crespo,A,@chui.ba,https://linktr.ee/chui.ba,eventos@chui.com.ar,11 5471-8397,prensa gastronómica + linktree oficial
Evelia,Núñez,A,@evelia.restaurante,https://www.eveliarestaurante.com/,,+54 9 11 5316-0615,web oficial (email protegido en el sitio)
MN Santa Inés,La Paternal,A,@mnsantaines,,,11 5848-6888,prensa gastronómica (WhatsApp reservas)
Roux,Recoleta,A,@rouxresto,https://rouxresto.com/,,011 4805-6794,web oficial + ficha Yelp
Nika Club Omakase,Palermo,A,@nikaclubomakase,https://nikaclubomakase.com/,,+54 9 11 3021-5648,web oficial (WhatsApp reservas)
La Sarita,Florida (Vicente López),A,@lasaritaflorida,https://lasaritaflorida.wixsite.com/home,,011 4063-7481 (WA) / 011 4718-0126,web oficial (Wix)
Tita La Vedette,La Paternal,A,@titalavedette,https://linktr.ee/titalavedette,,,linktree oficial (sin tel/email publicados)
Picarón,Chacarita,A,@picaron.ba,,,,no toman reservas; sin teléfono público
Lo de Jesús,Palermo,A,@lodejesus,,,+54 11 3943-1734 (WA) / 4832-6011,fichas públicas de reservas (restaurantpremium/roldanba)
Sarkis,Villa Crespo,A,@restaurantesarkis,,,4772-4911 / 4776-8619,prensa + fichas públicas (no toman reservas)
Mad Pasta,Martínez (San Isidro),A,@madpastahouse,https://madpastacompany.com.ar/,,+54 9 11 4673-1580,web oficial (madpastacompany.com.ar)
Hobby Café,Palermo,A,@hobbycafe.ba,,,,sin datos públicos (contacto por Instagram)
Blanca,Colegiales,A,@blancastudio___,,,,sin datos públicos encontrados
Checkpoint Charlie,Palermo,A,@checkpointcharlie.rest,https://checkpointcharlie.rest/,,11 5116-0881 (WA reservas) / 11 5117-5120 (take away),web oficial (checkpointcharlie.rest/contact)
La Kitchen,Chacarita,A,@lakitchen.ba,https://lakitchen.com.ar/,hola@lakitchen.com.ar,+54 9 11 6850-0658,web oficial (lakitchen.com.ar/contacto)
Tres Tostador,Colegiales,A,@tres.tostador,,,,sin datos en web oficial (solo directorios de terceros)
Lab Tostadores,Palermo,A,@labtostadores,https://shop.labcafe.com.ar/,info@labcafe.com.ar,+54 9 11 6465-7008,web oficial (shop.labcafe.com.ar/contacto)
Malcriada,Palermo,A,@malcriada.arg,,,,sin datos públicos confiables (contacto por Instagram)
Bulevar,San Telmo,A,@bulevar__ba,https://www.bulevar.com.ar/,bulevar.ba@gmail.com,,web oficial (bulevar.com.ar)
El Pobre Luis,Belgrano,A,@elpobreluisparrilla,,,11 2270-5142 (WA) / 4780-5847,sitio oficial de turismo BA + prensa
El Desnivel,San Telmo,A,@parrilladesnivel,,,11 3116-1895 (WA) / 011 4300-9081,fichas públicas + prensa gastronómica
El Litoral,Balvanera,A,@ellitoralparrilla,,,+54 11 4953-2438,ficha pública (directorios locales coincidentes)
Parri La Esquina,Belgrano,A,@parrilaesquina,,,4788-0699,prensa gastronómica (buenosairesconnect)
Parrilla Peña,San Nicolás,A,@parrillitapena,,,(011) 4371-5643,fichas públicas (Yelp/directorios coincidentes)
La Glorieta de Quique,La Boca,A,@laglorietadequique,https://laglorietadequique.com/,,+54 9 11 3813-6125 / 4301-6470,web oficial (laglorietadequique.com)
El Secretito,Las Cañitas (Palermo),A,@parrisecretito,https://www.parrisecretito.com.ar/,,+54 11 4777-8351 / 4773-8464,web oficial (parrisecretito.com.ar)
Lo de Charly,Villa Ortúzar,A,@parrillalodecharly,http://www.parrillalodecharly.com.ar/,,4553-0882 / 4552-2401,web oficial (parrillalodecharly.com.ar)
José el Carnicero,Palermo Soho,A,@xjoseelcarnicerox,https://joseelcarnicero.com.ar/,,11 2819-8337,web oficial + prensa (soloporgusto)
Casa Pasto,Palermo Soho,A,@casapastobsas,,,,sin teléfono público (reserva anticipada por IG)
La Choza de Gascón,Palermo Viejo,A,@lachoza_parrilla,,,+54 11 4833-3334,sitio oficial de turismo BA + prensa
